index,bench.id,benchnum,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,location
1155,abalone_benchmark_1231,1231,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.050352467,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1231.csv
695,comm.and.crime_benchmark_0936,936,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0936.csv
675,concrete_benchmark_1096,1096,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.010683761,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1096.csv
225,fault_benchmark_0246,246,fault,278,50,228,ar-0,pd-4,none,ir-1,0.179856115,fault_benchmarks\fault\benchmarks\fault_benchmark_0246.csv
320,gas_benchmark_0321,321,gas,6000,6,5994,ar-1,pd-0,scatter,ir-0,0.001,gas_benchmarks\gas\benchmarks\gas_benchmark_0321.csv
625,imgseg_benchmark_1526,1526,imgseg,1320,132,1188,ar-6,pd-0,scatter,ir-1,0.1,imgseg_benchmarks\imgseg\benchmarks\imgseg_benchmark_1526.csv
1655,landsat_benchmark_1761,1761,landsat,230,23,207,ar-6,pd-4,scatter,ir-0,0.1,landsat_benchmarks\landsat\benchmarks\landsat_benchmark_1761.csv
1310,letter.rec_benchmark_1666,1666,letter.rec,4089,409,3680,ar-6,pd-2,cluster,ir-1,0.100024456,letter.rec_benchmarks\letter.rec\benchmarks\letter.rec_benchmark_1666.csv
1410,magic.gamma_benchmark_1411,1411,magic.gamma,6000,300,5700,ar-4,pd-3,scatter,ir-2,0.05,magic.gamma_benchmarks\magic.gamma\benchmarks\magic.gamma_benchmark_1411.csv
775,opt.digits_benchmark_1316,1316,opt.digits,3180,159,3021,ar-4,pd-1,cluster,ir-3,0.05,opt.digits_benchmarks\opt.digits\benchmarks\opt.digits_benchmark_1316.csv
125,pageb_benchmark_0126,126,pageb,733,119,614,ar-0,pd-2,none,ir-1,0.162346521,pageb_benchmarks\pageb\benchmarks\pageb_benchmark_0126.csv
1335,particle_benchmark_1336,1336,particle,6000,300,5700,ar-4,pd-2,none,ir-3,0.05,particle_benchmarks\particle\benchmarks\particle_benchmark_1336.csv
70,shuttle_benchmark_0071,71,shuttle,6000,979,5021,ar-0,pd-1,none,ir-2,0.163166667,shuttle_benchmarks\shuttle\benchmarks\shuttle_benchmark_0071.csv
1465,skin_benchmark_1706,1706,skin,6000,600,5400,ar-6,pd-3,scatter,ir-1,0.1,skin_benchmarks\skin\benchmarks\skin_benchmark_1706.csv
500,spambase_benchmark_0681,681,spambase,2522,13,2509,ar-2,pd-1,scatter,ir-0,0.005154639,spambase_benchmarks\spambase\benchmarks\spambase_benchmark_0681.csv
1305,synthetic_benchmark_1786,1786,synthetic,329,33,296,ar-6,pd-4,cluster,ir-1,0.100303951,synthetic_benchmarks\synthetic\benchmarks\synthetic_benchmark_1786.csv
540,wave_benchmark_0661,661,wave,3024,16,3008,ar-2,pd-1,none,ir-0,0.005291005,wave_benchmarks\wave\benchmarks\wave_benchmark_0661.csv
490,wine_benchmark_0611,611,wine,3720,19,3701,ar-2,pd-0,none,ir-2,0.005107527,wine_benchmarks\wine\benchmarks\wine_benchmark_0611.csv
560,yeast_benchmark_1221,1221,yeast,926,47,879,ar-4,pd-0,scatter,ir-0,0.05075594,yeast_benchmarks\yeast\benchmarks\yeast_benchmark_1221.csv
230,yearp_benchmark_0231,231,yearp,6000,2916,3084,ar-0,pd-3,cluster,ir-2,0.486,yearp_benchmarks\yearp\benchmarks\yearp_benchmark_0231.csv
