index,bench.id,benchnum,mset,size,n.anom,n.norm,anomaly.rate.level,point.difficulty.level,clustering.algo,irrelevance.level,anomaly.rate,location
1155,abalone_benchmark_1231,1231,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.0503524672708963,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1231.csv
1156,abalone_benchmark_1232,1232,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.0503524672708963,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1232.csv
1157,abalone_benchmark_1233,1233,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.0503524672708963,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1233.csv
1158,abalone_benchmark_1234,1234,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.0503524672708963,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1234.csv
1159,abalone_benchmark_1235,1235,abalone,1986,100,1886,ar-4,pd-0,scatter,ir-2,0.0503524672708963,abalone_benchmarks\abalone\benchmarks\abalone_benchmark_1235.csv
695,comm.and.crime_benchmark_0936,936,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0936.csv
696,comm.and.crime_benchmark_0937,937,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0937.csv
697,comm.and.crime_benchmark_0938,938,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0938.csv
698,comm.and.crime_benchmark_0939,939,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0939.csv
699,comm.and.crime_benchmark_0940,940,comm.and.crime,910,10,900,ar-3,pd-0,scatter,ir-3,0.010989010989011,comm.and.crime_benchmarks\comm.and.crime\benchmarks\comm.and.crime_benchmark_0940.csv
675,concrete_benchmark_1096,1096,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.0106837606837607,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1096.csv
676,concrete_benchmark_1097,1097,concrete,468,5,463,ar-3,pd-3,none,ir-3,0.0106837606837607,concrete_benchmarks\concrete\benchmarks\concrete_benchmark_1097.csv
